编号,位置,区,房型,所处楼层级别,总楼层数,建造年份,面积,朝向,关注数,是否有VR房源,是否近地铁,单位价格,挂牌年,挂牌月,挂牌日,总价,纬度,经度
10262,成华区府青路一段19号,2,3|2,3,7,2009,76.51,5,80,1,1,14377.2,2019,4,28,110.0,30.6812671744626,104.10132964860912
10263,成华区新风路46号,2,1|2,3,7,1998,49.54,4,28,1,0,12111.4,2019,4,18,60.0,30.6910591431914,104.11672496564259
10264,成华区五桂路6号,2,1|1,3,27,2012,44.61,3,9,1,1,21295.7,2020,1,12,95.0,30.643438079702555,104.13659478733652
10265,成华区双建路8号,2,3|2,2,11,2001,122.76,4,31,1,0,16699.3,2018,9,26,205.0,30.68440578278073,104.12201555840124
10266,成华区建业路219号,2,4|2,1,34,2011,86.0,-1,31,1,0,30581.4,2019,3,1,263.0,30.68098164520573,104.11764921241907
10267,成华区人民塘北一路蓝光乐彩城,2,3|2,2,40,-1,80.14,7,3,1,0,18093.3,2019,11,20,145.0,30.69648911874491,104.14505161506857
10268,成华区东华二路19路,2,2|1,1,22,2011,85.0,4,19,1,0,12235.3,2019,9,21,104.0,30.688922239684164,104.1479198847992
10269,成华区华彩路16号,2,1|1,1,11,2005,47.67,7,13,1,0,10488.8,2018,3,26,50.0,30.70089421071755,104.1815166168724
10270,成华区羊子山西路88号,2,1|1,2,18,2010,48.0,4,23,1,1,15395.8,2019,9,1,73.9,30.71318969185268,104.10296880374098
10271,成华区双成三路18号,2,3|2,2,32,2010,74.66,4,18,1,0,26788.1,2019,12,29,200.0,30.649925442185026,104.12309380618284
10272,成华区荆翠中路88号,2,3|2,1,18,2008,87.87,5,7,1,0,17639.7,2019,12,12,155.0,30.72142616632424,104.11910568904072
10273,-1,2,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
10274,成华区建业路219号,2,4|2,1,7,2012,211.0,5,21,1,0,36019.0,2019,5,26,760.0,30.68098164520573,104.11764921241907
10275,成华区民兴北一路66号,2,3|2,3,26,-1,88.0,5,34,1,0,17045.5,2019,4,20,150.0,30.690113836815215,104.16487003122971
